topic,label,description,top_words
269,The Virtues and Flaws of a Strong-Willed Woman,"Narratives about the complexities of relationships between strong-willed women and their families or communities, highlighting both admirable qualities and flaws that lead to conflict.","miss baldwin, baldwin, chloe, mossell, india, joseph, conway, desirable, forrester, gift"
270,"Lord, Pray, Sterret, Miss Celie",{,"lord, pray, sterret, miss celie, celie, lord believe, new castle, mrs ryther, ryther, praise lord"
271,Faith and Spiritual Resilience,"Narratives of prayer, faith, and spiritual resilience in the face of slavery and hardship.","pray, ray, mission, lord, sister, ta, etau, sister ray, sing, mr richardson"
272,Whipping and Plantation Punishment,"The harsh treatment and punishment inflicted on slaves by plantation owners and overseers, including physical abuse and whipping.","roll, overseer, pays com, mr warner, major thornton, day child, foreman, mr carleton, carleton, com day"
273,Critique of Slavery and Southern Culture,"The topic explores the author's critique of slavery, its effects on individuals and society, and their vision for a more equitable future.","tater, aggs, mrs stowe, stowe, tromp, van tromp, mr bird, uncle tom, nature, yer time"
274,Music and Personal Expression,"Narratives highlighting the importance of music and personal expression in the lives of enslaved individuals, including their talents as musicians, composers, and performers.","music, musical, guitar, trotter, composer, musician, holland, mr trotter, cleveland, instrument"
275,Forced Marriage and Plantation Control,"Narratives of enslaved individuals being forced into marriage by plantation owners or mistresses, often as a means of exerting control over the enslaved population.","yo, missis, fanny, hannah, cato, jerry, dat, ef, nt, massa"
276,"Camel, Lion, Beast, Tree",{,"camel, lion, beast, tree, water, herbage, animal, grass, roar, growl"
277,Faith and Community,"Narratives about finding comfort, solace, and community through faith in God or a higher power, often in times of hardship or loss.","holy, mr pendleton, nearer thee, nearer, mr jefferson, pendleton, thee nearer, toussaint, thee, nearer god"
278,Life on Plantations and in Cities,"Experiences of enslaved individuals living on plantations and interacting with people in cities like Savannah, as well as their observations about the treatment of slaves and the social dynamics between slave owners and free black men.","jimmie, garlick, mr louis, mr garlick, regiment, gatewood, san francisco, francisco, savannah, winter"
279,Lynching and Mob Violence in the South,"Accounts of lynchings, mob violence, and the acquiescence or encouragement of such actions by local communities, highlighting the brutal treatment of African Americans in Southern states.","lynch, crime, rape, person lynch, lynching, cas, mob, mormon, southern, southern state"
280,Racism and Segregation in Public Spaces,"The treatment of African Americans in public spaces, including restaurants, hotels, and social gatherings, where they often faced discriminatory seating arrangements, verbal abuse, and exclusion from white-only areas.","allow nigger, dont allow, nigger, seat, table, state meet, dont, skin, told dont, admission"
281,Whipping and Plantation Punishment,"Accounts of physical abuse, mistreatment, and violence inflicted upon enslaved individuals by plantation owners, overseers, or other white individuals in a shipyard setting.","master hugh, hugh, shipyard, gardiner, carpenter, kill nigger, mr gardner, kill, fred, gardner"
282,Dr. George Washington Carver's Work at Tuskegee,"The life and achievements of Dr. George Washington Carver, including his work on the peanut and sweet potato, and his presentations to Congress.","carver, dr carver, peanut, dr, product, sweet potato, potato, scientific, tuskegee, peanut sweet"
283,Official Documentation and Testimony,"This topic involves official documents and testimony related to the legal status and freedom of Solomon Northup, including certificates, affidavits, and court records.","seal, whereof, northup, testimony whereof, court, certificate, affix, certify, aforesaid, executor"
284,French Colonial Politics and Slavery,"The intersection of French colonial politics, slavery, and the lives of enslaved individuals in North America, particularly in the context of the Haitian Revolution and the interactions between Toussaint Louverture and French officials.","toussaint, france, tutor, agent, domingo, dismissal, french, directory, colony, ask dismissal"
285,Participation in Republican and Democratic Conventions,"The experiences of African Americans participating in national conventions, including their interactions with white politicians and the challenges they faced due to racial prejudice.","party, crawford, convention, republican, democratic party, mr crawford, democratic, republican party, procession, buren"
286,Medical Education and Professionalization,The struggle for African American physicians to gain recognition and equal opportunities in medical education and professional organizations in the late 19th century.,"physician, medical, medicine, patient, dr, texa, houston, tolton, county texa, science"
287,The Morality of Slavery and Human Rights,"Narratives highlighting the moral contradictions and human rights abuses inherent in slavery, including the conflict between Christian principles and slave ownership.","oath, perjury, truth, crime, human, louverture, guilty, sacr, bonaparte, lies"
288,"Chatham, Colour, Settlement, Mccormick",{,"chatham, colour, settlement, mccormick, settler, colour people, canada, town, advantage, sarah"
289,Gratitude and Support from Friends,"Narrators express gratitude towards friends who provided financial support, kindness, and assistance during difficult times.","mr spurgeon, spurgeon, hawkin, brentford, college, elder warren, kindness, bles, thank god, piggin"
290,Church Governance and Membership,"The topic encompasses discussions around church governance, membership requirements, and relationships between different churches in North America during the period of slavery.","sec, church, member, pastor, sec member, baptist, council, deacon, churche, fellowship"
291,"Kinsley, London, Pie, Wale",{,"kinsley, london, pie, wale, africa, caernarvon, bangor, waiter, europe, welsh"
292,Resisting Slavery,"Narratives of enslaved individuals who resisted their enslavement through various means, including plotting escape, teaching others to read and write, and actively defying their masters.","jim, sar, knowls jim, knowls, jarm, tommy, nichol, babe, manager, resist"
293,Christianity and Slavery in Plantation Life,"The intersection of Christianity and slavery on plantations, including the use of religion to control and manipulate enslaved people, as well as the hypocrisy of slave owners who professed Christian values while owning slaves.","mr troy, troy, primus, master thoma, preacher, ditto, conversion, thoma, tent, windsor"
294,Faith and Spiritual Resilience,"Narratives of spiritual strength and resilience in the face of hardship and oppression, including expressions of faith, prayer, and hymns.","oh, lord, ravenshoe, jesus, dear, satur, mrs satur, pray, corydon, church"
295,"Indian, Tribe, Brant, Choctaw",{,"indian, tribe, brant, choctaw, ham, nation, osage, thousand year, kouka, egypt"
296,Medical Care in Slavery,"The experiences of enslaved individuals receiving medical care from plantation doctors or other healers, including the use of folk remedies and spiritual practices.","cato, toof, oh, doctor, lord, oh toof, ef, pat, pill, trust lord"
297,"Abbey, Ruin, Abbotsford, Poet",{,"abbey, ruin, abbotsford, poet, monk, walter scott, visit abbotsford, beautiful, palace, wall"
298,Tributes to Enslaved Individuals,"Accounts of enslaved individuals who are remembered and honored by their owners or acquaintances, often highlighting their exceptional character and influence.","walker, walker baptist, hall, wagner, deed, samuel hall, douglass, mr hall, john wagner, sam hall"
299,African American Education and Intellectual Achievement,"Narratives highlighting African Americans' educational achievements, intellectual abilities, and contributions to society, often in contrast to stereotypes or expectations.","chandler, dr brook, whatsoever thing, mr chandler, dr, clark, debaptiste, school, florida, ocala"
300,"Antislavery, Movement, Abolition, Antislavery Movement",{,"antislavery, movement, abolition, antislavery movement, principle, mr forster, liberty, abolitionist, forster, antiabolitionist"
301,"Douglass, Mr Douglass, Constitution, Orator",{,"douglass, mr douglass, constitution, orator, convention, speech, audience, ward, garrison, mr fulton"
302,"Workhouse, Rawlinson, Mr Rawlinson, Massa",{,"workhouse, rawlinson, mr rawlinson, massa, flog, magistrate, treadmill, dance, penal gang, apprentice"
303,Traveling at Night through Woodlands and Swamps,Narrators describe navigating through dense forests and swamps under cover of darkness to escape or reach freedom.,"archy, dogs, edy, old archy, wood, road, hound, start, cave, river"
304,"Amo, Latin, Laidlaw, Lislet",{,"amo, latin, laidlaw, lislet, et, publish, hawick, mr laidlaw, axim, isle france"
305,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, on enslaved individuals, often in public displays of power and control by plantation owners or overseers.","jared, major thornton, isaac, marster, thornton, wealch, neighbor, major, servant, arter"
306,"Mob, Mob Violence, Carey, Violence",{,"mob, mob violence, carey, violence, dyersburg, mr speaker, decker, asylum, orphan, fir"
307,Christian Leadership and Community Development,The importance of Christian leaders and community development initiatives in improving the lives of enslaved individuals and their communities.,"farley, mr farley, mr davis, davis, conference, operator, gallery, sow, ideal, debaptiste"
308,Encounters with Sympathetic White Women,"Narrators describe their interactions with white women who show kindness and compassion towards them, often providing food, shelter, or assistance in escaping slavery.","cleaveland, lincoln, mrs lincoln, cassy, hester cook, mr gordon, gordon, hester, st denis, denis"
309,Restrictions on Free Speech and Assembly,"Narratives highlighting the suppression of free speech and assembly, including mob violence, intimidation, and restrictions on public gatherings.","confession, baal, mr roby, pullum, roby, sign bond, hurd, rev pullum, home guard, free speech"
310,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, as a means of discipline on plantations in North America.","cobb, mr cobb, note, did steal, steal meat, benton, lashe, flog, whip, jail"
311,"Journey, Time Promis, Ohio, Start",{,"journey, time promis, ohio, start, kentuckian, large party, travel, kentucky way, journey kentucky, occurrence happen"
312,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, by plantation owners or overseers to discipline slaves.","heddy, whip, barn, cooper, wallace, scow, mr tucker, clothe, mfie, peter"
313,Encounters with Abolitionists and Influential Figures,"Narratives of interactions with prominent abolitionists, politicians, and influential individuals who supported or opposed the narrator's cause.","jame sherman, scobell, john scobell, samuel gurney, branch eusebius, rev, eusebius smith, eusebius, john branch, gurney"
314,Christianity and Slaveowner Relationships,"Narratives about slaveowners who were Christians or allowed slaves to hold religious meetings on their plantations, highlighting interactions between enslaved individuals and their owners.","crumpling, preach, prohibition, meeting, mr crumpling, funeral, prayer, church, bro, present dollar"
315,Religious Meetings and Conversion,"Accounts of slaves participating in or leading religious meetings, conversions, and the impact on their lives and relationships with owners.","camp meet, mr lundy, lundy, camp, circuit, infernal black, pool, black ghost, lamourie, exhort"
316,"Phillis, Poem, Composition, Wheatley",{,"phillis, poem, composition, wheatley, mistress, mrs wheatley, mrs folger, folger, delicate, exclaim look"
317,Life in the Slaveholder's Household,"The narrative describes daily life on a plantation, including interactions between enslaved people and their owners, as well as the management of household tasks and responsibilities.","neddy, mazie, spr furnish, lord glory, furnish water, billy, sally, margaret, desert, springmeadow"
318,"Murder, Guanabacoa, Mr Crawford, Havana",{,"murder, guanabacoa, mr crawford, havana, crawford, perpetrat, murder slave, crime, bound, cruelty"
319,Racial Equality and Public Perception,"The struggle for racial equality and the perception of African Americans by white society, including the impact of public events and speeches on their reputation.","race, john anderson, alexander bettis, bettis, rev alexander, assail, presumption, mr coe, coe, liberty"
320,"Paul, Sally, Oh, Landingplace",{,"paul, sally, oh, landingplace, tirrell, zillah, captain, tear, tsa, choteaux"
321,Confronting Captors and Seeking Freedom,"Narratives of enslaved individuals attempting to escape or navigate their captivity, including interactions with jailers, masters, and other authorities.","captor, gavitt, miller, emison, jail, mr shaw, cottrell, smallpox, tavern, squire munser"
322,"Writ, Court, Habea, Habea Corpus",{,"writ, court, habea, habea corpus, corpus, jurisdiction, writ habea, statute, justice cockburn, chief justice"
323,Fundraising Efforts and Donations,Narratives about securing funds for institutions such as Tuskegee and Hampton through donations from individuals like General Armstrong and Andrew Carnegie.,"tuskegee, armstrong, fund, dollar, general armstrong, carnegie, student, school, hampton, build"
324,Authorship and Literary Merit,"The narratives discuss the author's qualifications, literary merit, and the challenges of writing as a formerly enslaved person without formal education.","lordship, ignatius, author, birthplace, born, duchess, bornou, solliman, hereford, majesty"
325,Whipping and Plantation Punishment,The use of physical punishment and mistreatment by plantation owners and overseers to control and discipline enslaved individuals.,"col johnston, inherit, widow jone, royal, royal blood, ward, buy child, born, blood, love land"
326,The Nature of Slavery and Its Effects on Humanity,"This topic explores the inherent cruelty and arbitrariness of slavery, highlighting its dehumanizing effects on individuals and society as a whole.","arbitrary, arbitrary power, cruelty, rely whip, covey, human, labour, objector, signify, motive"
327,Autobiographical Purpose and Authorial Intent,"The purpose behind writing autobiographies, the author's intentions, and their reflections on sharing personal experiences.","sojourner, sojourner truth, truth, dear sojourner, mott, dear, year acquaintance, kan, book life, mass"
328,"Delia, Eggs, Wine, Madam",{,"delia, eggs, wine, madam, roast, dinner, hartwell, beef roast, table, company"
329,The Discovery of Genius and the Dangers of Excess,Narratives about discovering one's own creative potential and struggling with the consequences of excessive drinking and poor influences.,"poet, genius, hood, mr augustus, fame, acrostic, augustus, wine, gentlemen, poem"
330,"Jared, School, Sundayschool, Teacher",{,"jared, school, sundayschool, teacher, storer, sec, seminary, superintendent, arter, pastor"
331,Navigating Multiple Masters,"The complexities of having multiple masters or owners, including conflicting orders and the struggle for loyalty and obedience.","hopkin, myer, epps, old master, new master, farmer, cut tree, tree, guide, free didnt"
332,Racial Equality and Citizenship,"Discussions around racial equality, citizenship rights, and the treatment of African Americans in the United States, including debates on amalgamation, representation, and the Dred Scott decision.","gould, elisha green, citizen, millersburg, bristow, professor bristow, elisha, green, color citizen, basis representation"
333,The Cruelty of Slavery,"Experiences of physical and emotional abuse, mistreatment, and dehumanization under the institution of slavery.","garfield, torment, state mind, present torment, torment sense, slave slavery, mak slave, calm breath, breath wind, noth hear"
334,Mob Violence Against Slave Owners,Accounts of violent attacks by mobs on slave owners' homes and families during a period of heightened racial tension.,"mob, dale, shop, street, beaubien, flame, reynold, missile, door, mrs dale"
335,Encountering Slave-Hunters and Fugitive Life,"Narratives of fugitives' experiences with slave-hunters, including encounters on the road, evading capture, and living in hiding.","davy, bristow, fugitive, wagon, slavehunter, neddy, carter, bristow wilson, billy, bruno"
336,Entrepreneurship and Financial Challenges,"The struggles of establishing and maintaining a business in the context of financial instability, including the use of alternative currencies and the challenges of redeeming notes.","shinplaster, note, barber, bank, circulation, banker, shop, circulation note, bank allow, allow issue"
337,Escape from Slavery via Waterways,Narratives detailing the use of rivers and boats as means of escape for enslaved individuals in North America.,"boat, felton, river, jem, walk, ferry, bundle, fourgeoud, zoogoo, new orlean"
338,Critique of European Superiority and Justification for Slavery,"The narratives critique the idea that Europeans are inherently superior to Africans, highlighting the historical barbarism of European societies and the hypocrisy of slave owners who justify their actions by denying the humanity of enslaved people.","inferiority, virtue, degrad, vice, european, moral, human, civiliz, african, brute"
339,Whipping and Plantation Punishment,"The treatment of slaves by slaveholders, including instances of cruelty, hunger, and plunder, as well as the consequences for both slaves and slaveholders.","treatment, slaveholder, good treatment, hunger, cruelty, plunder, habitually, treat, marvel, cattle"
340,Artistic Talent and Racial Exceptionality,"The theme of artistic talent and racial exceptionality is explored through the narratives of individuals who demonstrate exceptional abilities, often in contrast to societal expectations of African Americans. These stories highlight the idea that African Americans are capable of achieving greatness and possessing innate genius, despite being enslaved or marginalized.","picture, bannister, mr bannister, artist, douglass, genius, simpson, talent, mr simpson, frederick douglass"
341,Plantation Food and Drink,"The daily food and drink provided to enslaved individuals on a plantation, including soup, meat, bread, vegetables, fruits, and beverages such as cider.","fruit, apple, orchard, peach, rice, ripe, soup, tree, cider, grape"
342,Enslavement and Transportation,"The process of being captured, sold, and transported as a slave, including experiences of separation from family members, physical punishment, and the emotional toll of enslavement.","trader, mabowah, bobah, chain, ivory, village, chief, journey, mourzook, sold"
343,Mathematical and Astronomical Contributions by Benjamin Banneker,"Benjamin Banneker's mathematical and astronomical contributions, including his almanacs, calculations, and corrections to existing works, which were recognized and praised by prominent figures such as Thomas Jefferson, Pitt, Fox, and Wilberforce.","almanac, banneker, calculation, jefferson, ellicott, melrose, astronomy, moon, derham, benjamin banneker"
344,Missionary Work and Education,"The importance of education and missionary work in spreading Christianity to non-Christian nations, including discussions on the treatment of slaves by European colonizers and the role of language in evangelism.","maps, entitl act, hermit, proprietor copy, encouragement learn, chart book, copy dur, author proprietor, copy maps, act encouragement"
345,"Dartmouth, Horton, Cuffe, District",{,"dartmouth, horton, cuffe, district, congress, district columbia, resolution, slavery district, westchester, town dartmouth"
346,"Rochester, Harper Ferry, Ferry, Harper",{,"rochester, harper ferry, ferry, harper, douglass, john brown, brown, requisition, mr douglass, governor"
347,Life in Slavery Compared to Freedom,"Narratives describing the author's experiences of life as a slave, comparing their treatment and circumstances to those who are free or have achieved freedom.","auld, baltimore, capt auld, patsey, miss lucretia, capt, sally lloyd, sloop sally, lucretia, pair trowser"
348,Finding Employment and Safety in Northern Cities,"Narratives about escaping slaves finding work and seeking refuge in cities such as Savannah, Carlisle, and Philadelphia, while avoiding detection by slave-holders.","end wharf, ship, wharf, board ship, savannah, wharf ship, simpson, fugitive, large warehouse, parker"
349,Chaplain Allensworth's Military and Civic Roles,"The topic revolves around the experiences and activities of Chaplain William F. N. Allensworth, a prominent figure in North American slave narratives, as he navigates his military and civic roles. The passages highlight his involvement with the 24th Infantry Regiment, his popularity among various organizations in Salt Lake City, and his participation in events such as the Inter-State Competitive Drill and the World's Congress Auxiliary.","chaplain, allensworth, army, chaplain allensworth, flipper, lieutenant, infantry, th infantry, allen allensworth, officer"
350,Voting Rights and Republican Politics,"Narratives about the struggle for voting rights in the South during the late 19th century, particularly in relation to the Republican Party's stance on racial equality and its impact on African American suffrage.","party, republican, republican party, purvis, vote, democratic, ballot, democrat, political, majority"
351,Traveling as a Slave,"Experiences of enslaved individuals while traveling on trains and carriages in North America, including encounters with conductors, ticket sellers, and law enforcement.","train, conductor, mr cray, cray, carriage, car, philadelphia, mccandless, passenger, gentleman slave"
352,Life in the North vs. Life in the South,"Narrators compare their experiences living in free states (e.g., Ohio) to those living in slave-holding states, highlighting differences in laws, education, and treatment of enslaved people.","dumont, isabel, isabella, catlin, robert, mistress, mr dumont, visit isabella, visit isabel, honest aleck"
353,Fugitive Slave Experience and Abolitionist Advocacy,"Narratives from escaped slaves and abolitionists highlighting the struggles of fugitive slaves in North America, the importance of British support for their cause, and the advocacy efforts of prominent figures like William W. Brown and Frederick Douglass.","american, law, boston boys, liberty, fugitive, dr morison, morison, fugitive slave, new jersey, douglass"
354,Economic Value of Slaves in Haiti,"The economic value of slaves in Haiti, including their worth compared to other animals and the proportion of wealth they represented for planters.","hayti, mortality, franc, island, british, jamaica, instruction, soil, cuba, french"
355,Family Life in Slavery,"Narratives about relationships with family members, including grandparents, parents, and siblings, while enslaved.","grandmother, coal, employ, dear wife, dinah, workd, kidderminster, georgy, norwich, nellie"
356,Whipping and Plantation Punishment,"The use of physical punishment to control and intimidate enslaved people in North America, including public whippings, beatings, and other forms of corporal punishment.","covey, cincinnati, search, syracuse, huntingdon, party paper, biddulph, party, impudence, liberty party"
357,Escape and Fugitive Slave Life,"Narratives about escaping from slavery, living as fugitives, and the experiences of those who helped or hindered their escape.","mr hutchinson, hutchinson, aunt emma, mrs thoma, mcgraw, aunt, sister, emma, gardensville, aunt dinah"
358,"Bornou, Native, King, Barbary",{,"bornou, native, king, barbary, tribe, el, bagirmy, kanemy, el kanemy, benin"
359,"Church, Methodist, Episcopal, Methodist Episcopal",{,"church, methodist, episcopal, methodist episcopal, conference, organization, episcopal church, circuit, allen, african"
360,"Lumber, Lawrence, Enterprise, Thousand Foot",{,"lumber, lawrence, enterprise, thousand foot, brought large, amos lawrence, boston, england, fugitive slave, debt"
361,"Lashe, Foot Inche, Leftwich, Inche",{,"lashe, foot inche, leftwich, inche, trader, emery john, jury, mr leftwich, wail, jim riley"
362,Writing and Publishing Slave Narratives,"The process of writing and publishing slave narratives, including the challenges and motivations involved in creating these accounts.","book, early fond, dr blake, fond, mr steward, strove, claim, story, douglass, greener"
363,Escape Planning and Preparations,"Narratives about planning and preparing for escape from slavery, including discussions of dreams, omens, and signs that may indicate the success or failure of their plans.","canoe, venison, road, easter holiday, hid, dog, easter, stealthily, draught, cave"
364,Rivalry Among Slaves,"Competition among slaves to perform more work, often encouraged by masters, but also a source of tension and exploitation.","freeland, covey, mr freeland, dick fallon, yankee trick, covey gave, fallon, yankee, dick, rivalry"
365,Whipping and Plantation Punishment,"Experiences of physical punishment, whipping, and mistreatment by plantation owners or overseers.","says, arter, agin, peter, goes, lecta, em, says peter, gits, comin"
366,Longing for Family and Freedom,"Narrators express deep emotional pain and yearning for loved ones lost or separated due to the institution of slavery, as well as their own aspirations for freedom and autonomy.","extinguish, misery, wretch, caress, fate, thou, snatch child, brother sister, book, manhood"
367,Racial Prejudice at West Point,"Experiences of racial prejudice and hostility faced by a black cadet at the United States Military Academy at West Point, including incidents of exclusion, name-calling, and discriminatory treatment.","cadet, plebe, rank, corporal, tent, dipper, west point, guard, courtmartial, cadet corporal"
368,"Railroad, Pullman, Section, Section Country",{,"railroad, pullman, section, section country, electrical, train, passenger agent, railway, railroad section, inventor"
369,"Union, Citizen America, Color Citizen, Unit Band",{,"union, citizen america, color citizen, unit band, convention, band, unit, god heaven, endeavor, sparingly"
370,Food Preservation Techniques,"Methods for preserving fruits and vegetables through canning, drying, and making jams/jellies, including recipes for strawberry leather, peach leather, and fig leather.","plum, boil, sugar, fruit, dry, cream, pound, juice, syrup, jars"
371,"Paleface, Great Spirit, Forefather, Indian",{,"paleface, great spirit, forefather, indian, pale face, thee, pale, tribe, chief, spot"
372,"New Bedford, Bedford, Southern Port, Cheat",{,"new bedford, bedford, southern port, cheat, german, men south, ox, load unload, white man, southern"
373,"Funeral Slave, Coffin, Sol, Overseer",{,"funeral slave, coffin, sol, overseer, funeral, entertainment power, draw leave, night draw, receive entertainment, massa"
374,"Prince, Leary, School, Holly",{,"prince, leary, school, holly, vashon, bethelsdorp, bishop holly, bishop, tombuctoo, philadelphia"
375,Celebrating Frederick Douglass's Legacy,"Accounts of tributes and honors paid to Frederick Douglass by various groups and individuals, including speeches, monuments, and statues, highlighting his significance as a former slave and prominent abolitionist.","douglass, rochester, frederick douglass, tribute, frederick, monument, honor, statue, citizen, bronze"
376,"Jarm, Major Thornton, Drink, Thornton",{,"jarm, major thornton, drink, thornton, whiskey, drunk, major, liquor, saloon, distillery"
377,Letters and Personal Correspondence,"Personal letters written by enslaved individuals in North America, including Ignatius Sancho and Solomon Bayley, to friends, family members, and influential figures, discussing their lives, struggles, and hopes for freedom.","sancho, sancho letter, thank, mrs sancho, letter, charle street, tubbee, dear, pleasure, truly"
378,Experiences of Fugitive Slaves in the North,"Narratives of enslaved individuals who escaped to Northern states, highlighting their struggles for safety and freedom","croff, sanford, william croff, georgia, man georgia, society, white yes, did know, cold, william"
379,Racial Progress and Education in the South,Narratives highlighting the efforts of African Americans to improve their education and socio-economic status in the face of racial tension and violence in the post-Reconstruction South.,"mound bayou, league, race, mound, organization, education, student, bayou, mr bank, national"
380,Whipping and Plantation Punishment,"The use of physical punishment, particularly whippings, as a means of control and discipline on plantations in North America.","driver, overseer, cowskin, gang, whip, calf, mr wolf, cruelty, cow, cruelty slave"
381,Whipping and Plantation Punishment,"The use of physical punishment, particularly whipping, as a means of control and discipline on plantations in the Southern United States.","whip, souther, flog, bennet, tan, epps, livd, punishment inflict, punishment, overseer"
382,Whipping and Plantation Punishment,"The use of physical punishment, such as flogging or whipping, to control and intimidate enslaved individuals on plantations in the American South.","rage, opposition owner, opposition, owner, moan groan, stimulant, property, provocation, wheatly, oppos far"
383,Escaping from Slavery,"Accounts of enslaved individuals attempting to escape from their captors, often involving violence and resistance.","indian, squaw, white man, murrell, choctaw, poor indian, hungry, chickasaw, zachary, hungry tir"
384,Ministry and Education,"The importance of education and ministry in the lives of African Americans during the period of slavery and its aftermath, including their involvement in various churches, schools, and educational institutions.","school, stewart, sunday school, baptist, district, philadelphia, conference, church, position, lewis"
385,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, by plantation owners or overseers to control and discipline enslaved individuals.","chain, whip, coffle, flop, patroller, gang, uncle, overseer, march, uncle stephen"
386,Life in the North,"Experiences of enslaved individuals living in the North, including interactions with abolitionists, education, and daily life.","judy, mr green, sofa, templeton, mrs lincoln, news, carriage, green, devenant, lincoln"
387,Early Education and Intellectual Development,"Narratives about the early education, intellectual development, and acquisition of knowledge by enslaved individuals, often in spite of obstacles and opposition from slave owners.","douglass, toussaint, master jame, covey, far rich, freeland, youth, instruction, boy, rochester"
388,Encountering Indigenous Peoples,"Narratives about interactions between enslaved individuals and Native American communities, including encounters, hospitality, and cultural exchange.","enemy, cave, guide, presently, arrow, pond, dens, ella, bag corn, contiguous"
389,Life Stories of Former Slaves,"Personal accounts from individuals born into slavery in North America, detailing their experiences and struggles under the institution of slavery.","born, doct steward, born slave, doct, history, circumstance painful, connecticut year, william grime, grime, owner"
390,Faith and Resilience in the Face of Oppression,"Narratives of spiritual struggle, divine guidance, and hope for eternal life amidst the hardships of slavery.","universe, spiritual, divine, empire, lotte, influx, creation, abolition death, death involve, god life"
391,Racial Equality and Voting Rights,"The struggle for racial equality and voting rights in the South, including discussions on the Reconstruction period, the role of education, and the relationship between African Americans and white Southerners.","ballot, political, race, white man, political right, ignorant, education property, criticism, law, southern"
392,Respect for Educated and Influential Figures,"Narrators express admiration and reverence for individuals who have achieved great things despite being enslaved, such as General Armstrong, Dr. Walker, and Mr. Holly, highlighting the impact of their presence on the narrators' lives.","armstrong, liberia, general armstrong, toussaint, westminister, mr holly, holly, dr walker, hair, president"
393,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, to control enslaved individuals on plantations in North America.","ranaway, subscriber, reward, negro man, ranaway subscriber, mdonald, county, subscriber negro, lurk, reward ranaway"
394,Rank and Social Status of Officers,"The social standing and rank of officers in the military, including how they are perceived by others and how their position affects their daily life.","chaplain, officer, chaplain allensworth, social, command officer, post, allensworth, regiment, rank, staff"
395,Voting Rights and Racial Tensions in the Late 19th Century,"Narratives about voting rights, racial tensions, and conflicts between African Americans and white people during elections in the late 19th century.","pinchback, governor, antiprohibition, republican, warmouth, governor warmouth, vote, mr pinchback, oh south, senate"
396,False Accusations and Plantation Punishment,"Narratives of enslaved individuals being falsely accused, arrested, and punished by plantation owners or their representatives.","jailer, watch, geese, arrest, struck, bate, john bate, mansfield, corner, note"
397,Spiritual Conversion and Faith,"The process of spiritual conversion and the development of faith in enslaved individuals, including experiences of revival, prayer, and baptism.","lord, brother henson, pray, baptiz, henson, bles, revival, holy spirit, sister, elder"
398,"Auld, Capt, Capt Anthony, Old Master",{,"auld, capt, capt anthony, old master, slaveholder, lucretia, divid, capt auld, aversion preference, hugh"
399,Tracking a Fugitive,"The use of bloodhounds and other dogs to track down escaped slaves, often involving pursuit through woods and swamps.","hardy, hound, blood hound, dogs, dog, owner dog, swamp, wood, pursuit, scent"
400,"Snake, Panther, Rattlesnake, Dog",{,"snake, panther, rattlesnake, dog, lady lay, stick, ivy, bough, bed, cypress"
401,"Dear Lizzie, Lizzie, Letter, Circular",{,"dear lizzie, lizzie, letter, circular, write, dear, ramsey, chicago, col horton, send"
402,Abolitionist Politics and Conventions,"The intersection of abolitionism and politics, including conventions, parties, and figures such as John Brown, Gerrit Smith, and Frederick Douglass.","douglass, party, gerrit smith, gerrit, garrisonian, liberty party, abolition, antislavery, convention, john brown"
403,"King Glory, Chorus, Toussaint, Stewart",{,"king glory, chorus, toussaint, stewart, rosalie, thou, evelyn, glory, sea, placido"
404,Escape from Slavery,Accounts of enslaved individuals attempting to flee or escape from slavery in North America.,"haytien, spr meadow, fight, meadow, clerc, le clerc, march, toussaint, toussaint loverture, le"
405,Church Life and Community,"Experiences and interactions within church communities, including relationships with pastors, congregations, and community members.","pastor, th lectur, preach, norris, lectur, church, congregation, th, mrs norris, schoolhouse"
406,Racial Harmony and Church Relations,"The complex relationships between enslaved Africans, their Christianization, and interactions with white people in churches, as well as the tensions and anxieties faced by free African Americans due to colonization efforts.","bettis, marshpee, potter, seth, church, barne, white people, mt canaan, alexander bettis, churche"
407,Jasper's Ministry and Community,"The narrative focuses on Jasper's career as a preacher in Richmond after the war, highlighting his originality, patience, and influence on his community. It also explores the relationships between Jasper and other churches, as well as the respect he earned from both black and white communities.","jasper, richmond, ter, mr jasper, ter preach, colour, sermon, preacher, preach, exultation"
408,"Claimant, Identity, Record, Burn",{,"claimant, identity, record, burn, evidence, suttle, brent, anthony burn, anthony, millspaugh"
409,"Mayor, Marshal, Military, Edmand",{,"mayor, marshal, military, edmand, police, state street, hallett, boston, peace city, street"
410,Conversion and Spiritual Experience,"Narratives about individuals' experiences of spiritual conversion, faith, and personal transformation, often involving emotional struggles, divine intervention, and a sense of redemption.","license, exhort, brethren, preach, soul, exercis, grace, trial, convert, license exhorter"
411,American Politics and Leadership,"Narratives about American politics, leadership, and the intersection of slavery and national politics during the 19th century.","republican, president, party, office, democratic, marshal, republican party, democratic party, republican state, convention"
412,"Overseer, Perkinson, Farm, Major Thornton",{,"overseer, perkinson, farm, major thornton, weeden, whip, thornton, team, religious slaveholder, major"
